pft_ineq,param,pft,organ,value_min,value_max,apriori_value,source_min,source_max,source_apriori,comments,link,additional_values
FALSE,fates_leaf_slatop,4,NaN,0.00674,0.0538,0.019,"Anacker_et_al_2012,jepson,try","Anacker_et_al_2012,jepson,try",initial testing,,,
FALSE,fates_leaf_slatop,5,NaN,0.008,0.0156,0.013,1st percentile of oak data from TRY,TRY mean + 20%,TRY (one value for canyon live oak),This 20% is based on how far the min and max was for black oak,,
fates_leaf_slatop,fates_leaf_slamax,0,NaN,,,,,,,,,
FALSE,fates_leaf_vcmax25top,1,NaN,35,62,57,"Buotte et al., 2021","Buotte et al., 2021","Buotte et al., 2021:: PCF7",,,
<pine,fates_leaf_vcmax25top,2,NaN,35,62,49.517,"Buotte et al., 2021","Buotte et al., 2021","Buotte et al., 2021:: PCF7",,,
<cedar,fates_leaf_vcmax25top,3,NaN,35,62,37,"Buotte et al., 2021","Buotte et al., 2021","Buotte et al., 2021:: PCF7",,,
FALSE,fates_leaf_vcmax25top,4,NaN,44,87,62 or 86,"Min of Misson et al., 2006","Mean of Misson et al., 2006; initial testing showed that going above this is bad for coexistence",Initial testing,,,
FALSE,fates_leaf_vcmax25top,5,NaN,24,58,61,10th percentile for Q. douglasii (TRY).  Initial testing showed we needed a low min for ensemble.,75th percentile for Q. douglasii (TRY),Initial testing,,,
FALSE,fates_fire_frac_resprout,4,NaN,0.05,0.6,,"tuning and Pausas, 2014","tuning and Pausas, 2014",,,,
FALSE,fates_fire_frac_resprout,5,NaN,0.5,0.99,,"Initial testing and Ackerley et al., 2019","Initial testing and Ackerley et al., 2019",,,,
FALSE,fates_frag_seed_decay_rate,1,NaN,0.51,0.95,0.95,Fates default,"Initial testing. Logically, we don’t want conifers to build up a seed bank (Stevens-Rumann & Morgan, 2019)",Initial testing,,,
pine,fates_frag_seed_decay_rate,2,NaN,,,,,,,,,
pine,fates_frag_seed_decay_rate,3,NaN,,,,,,,,,
FALSE,fates_frag_seed_decay_rate,4,NaN,0.005,0.01,0.01,"Anderson, 2001",Initial testing,Initial testing,Ceanothus seeds “can last up to 200 years in the seed bank”,https://www.fs.usda.gov/database/feis/plants/shrub/ceavel/all.html#AUTHORSHIP%20AND%20CITATION,
FALSE,fates_frag_seed_decay_rate,5,NaN,0.51,0.99,0.51,"Tollefson, 2008","Tollefson, 2008; Initial testing",0.4,The 0.4 apriori is likely not a great number,https://www.fs.usda.gov/database/feis/plants/tree/quechr/all.html,
FALSE,fates_recruit_seed_germination_rate,1,NaN,0.3,0.99,0.5,Fates default – 40% (tuning),Fates default – 40% (tuning),Fates default,,,
pine,fates_recruit_seed_germination_rate,2,NaN,,,,,,,,,
pine,fates_recruit_seed_germination_rate,3,NaN,,,,,,,,,
FALSE,fates_recruit_seed_germination_rate,4,NaN,0.005,0.02,0.01,Tuning,Tuning,Initial testing,,,
FALSE,fates_recruit_seed_germination_rate,5,NaN,0.3,0.7,0.4,Fates default – 40% (tuning),Fates default – 40% (tuning),Initial testing,,,
FALSE,fates_disturbance_germ,4,NaN,10,100,50,"Tuning and Reeves, 2006","Tuning and Reeves, 2006",Initial testing,The total germination rate after disturbance will depend on this parameter in conjunction with the base germ rate,https://www.fs.usda.gov/database/feis/plants/shrub/ceacor/all.html#38,
FALSE,fates_turnover_branch,1,NaN,50,150,150,"Buotte et al., 2021:PCF7",Fates default,Initial testing,"Muukkonen & Lehtonen, 2004 found Picea abies had turnover time of 80 years",,
pine,fates_turnover_branch,2,NaN,50,150,,"Buotte et al., 2021:PCF7",Fates default,Initial testing,,,
pine,fates_turnover_branch,3,NaN,50,150,,"Buotte et al., 2021:PCF7",Fates default,Initial testing,,,
FALSE,fates_turnover_branch,4,NaN,2,50,20,"No data, made range lower than trees","No data, made range lower than trees",,,,
pine,fates_turnover_branch,5,NaN,50,150,40,"Buotte et al., 2021:PCF7",Fates default,Initial testing,,,
FALSE,fates_turnover_leaf,1,NaN,3,5.5,,"Mediavilla & Escudero, 2003",Withington et al. 2006,,,,
>pine,fates_turnover_leaf,2,NaN,3,5.5,,Same as pine due to no data,Same as pine due to no data,,Also data on Thuja occidentalis (Wright leaf econ spectrum data) indicates its similar to pine,,
>cedar,fates_turnover_leaf,3,NaN,4.9,10.3,,"Smith et al., 2019, 25th percentille on boxplot for abies","Smith et al., 2019, top whisker for abies",,,,
FALSE,fates_turnover_leaf,4,NaN,1.2,2.7,1.5,"Campbell, et al. 2009, Table 2, Ceanothus","Campbell, et al. 2009, Table 2, Manzanita",Doubling the Leaf turnover rate decreaesd fire severity by about 50%,,,
FALSE,fates_turnover_leaf,5,NaN,1.25,2,1.5,"Mediavilla et al., 2008","Cavender-Bares et al., 2005",Doubling the Leaf turnover rate decreaesd fire severity by about 50%,,,
FALSE,fates_nonhydro_smpsc,1,NaN,-379600,-252800,-252351,"Safford and Stephens, 2017; TRY; Ratzman et al., 2019; Initial testing","Safford and Stephens, 2017; TRY; Ratzman et al., 2019; Initial testing",,,,
FALSE,fates_nonhydro_smpsc,2,NaN,-506400,-379600,-400000,"Safford and Stephens, 2017; TRY; Ratzman et al., 2019; Initial testing","Safford and Stephens, 2017; TRY; Ratzman et al., 2019; Initial testing",,,,
FALSE,fates_nonhydro_smpsc,3,NaN,-252800,-126000,-180000,"Safford and Stephens, 2017; TRY; Ratzman et al., 2019; Initial testing","Safford and Stephens, 2017; TRY; Ratzman et al., 2019; Initial testing",,,,
FALSE,fates_nonhydro_smpsc,4,NaN,-760000,-633200,-760000,"Safford and Stephens, 2017; TRY; Ratzman et al., 2019; Initial testing","Safford and Stephens, 2017; TRY; Ratzman et al., 2019; Initial testing",,,,
FALSE,fates_nonhydro_smpsc,5,NaN,-633200,-506400,-700000,"Safford and Stephens, 2017; TRY; Ratzman et al., 2019; Initial testing","Safford and Stephens, 2017; TRY; Ratzman et al., 2019; Initial testing",,,,
FALSE,fates_mort_hf_sm_threshold,0,NaN,0.001,0.3,0.2,Tuning,Initial testing / tuning,Initial testing,,,
FALSE,fates_recruit_inter_patch_disp_frac,0,NaN,0.01,0.35,0.1,Tuning,Tuning,,,,
FALSE,fates_frag_maxdecomp,0,1,0.379,1.14,,"Backcalculated based on Campbell et al., 2006 and McIntyre and Ottman, 2006, Hart et al., 1992","Campbell et al., 2006 and McIntyre and Ottman, 2006, Hart et al., 1992",Fates default,Initial testing found that fuel loads were way too high,,
FIXED,fates_frag_maxdecomp,0,2,NaN,0.9,,Fates default,,Fates default,Initial testing found that fuel loads were way too high,,
FIXED,fates_frag_maxdecomp,0,3,NaN,0.8,,Fates default,,Fates default,Initial testing found that fuel loads were way too high,,
FIXED,fates_frag_maxdecomp,0,5,NaN,1.6,,Fates default,,Fates default,Initial testing found that fuel loads were way too high,,
FALSE,fates_alloc_storage_cushion,5,NaN,1,1.85,1.2,Tuning,Tuning,Fates default,,,
FALSE,fates_grperc,4,NaN,0.07,0.35,0.11,Value used for pine in initial testing was 0.08 which worked pretty well,Tuning,Fates default,,,
FALSE,fates_stoich_nitr,1,1,0.019,0.025,0.023,"DUURSMA et al, 2005 Fig 1 Simple Mean","DUURSMA et al, 2005 Fig 1 Simple Mean","Buotte et al., 2021:PCF7","This also aligns with Data from Wright et al., 2004, Buotte et al., 2001, and Sala et al 2005",,
<pine,fates_stoich_nitr,2,1,0.019,0.025,,Same range as pine due to lack of data,,,,,
<cedar,fates_stoich_nitr,3,1,0.019,0.025,,Same range as pine due to lack of data,,,,,
FALSE,fates_stoich_nitr,4,1,0.0149,0.055,0.03,"Anacker_et_al_2012,jepson","Anacker_et_al_2012,jepson",Initail testing,,,
FALSE,fates_stoich_nitr,5,1,0.0208,0.046,0.021,"TRY, chysolepis value and agrifolia value in Wright et al., 2004","TRY and Q. ilex max in Wright et al., 2004",Initail testing,,,
FALSE,fates_mort_ip_size_senescence,4,NaN,10,30,20,Initial testing,Initial testing,Initial testing,,,
FALSE,fates_mort_ip_age_senescence,4,NaN,50,90,70,Initial testing,Initial testing,Initial testing,,,
FALSE,fates_allom_d2ca_coefficient_max,1,NaN,0.25695434,0.45,,"Tallo, McPherson_2016, Baad","Tallo, McPherson_2016, Baad. Roughly 2 standard deviations above the optimal param estimate",,,,
pine,fates_allom_d2ca_coefficient_max,2,NaN,0.25695434,0.45,,"Tallo, McPherson_2016, Baad","Tallo, McPherson_2016, Baad. Roughly 2 standard deviations above the optimal param estimate",,,,
pine,fates_allom_d2ca_coefficient_max,3,NaN,0.25695434,0.45,,"Tallo, McPherson_2016, Baad","Tallo, McPherson_2016, Baad. Roughly 2 standard deviations above the optimal param estimate",,,,
FALSE,fates_allom_d2ca_coefficient_max,4,NaN,0.13,0.26852187,,"Conti et al., 2019; moved this a little lower than 1 SE from the mean based on initial testing","Conti et al., 2019",,,,
FALSE,fates_allom_d2ca_coefficient_max,5,NaN,0.6,1.6,,McPherson.,McPherson,,,,
fates_allom_d2ca_coefficient_max,fates_allom_d2ca_coefficient_min,0,NaN,,,,,,,,,
FALSE,fates_allom_agb1,1,NaN,0.064731,0.0841503,NA,Chojnacky (AGB) and Baad,tuning. This was moved up by 30% from original fit to better match observations,,,,
pine,fates_allom_agb1,2,NaN,0.064731,0.0841503,,,,,,,
pine,fates_allom_agb1,3,NaN,0.064731,0.0841503,,,,,,,
FALSE,fates_allom_agb1,5,NaN,0.08534,0.110942,,Chojnacky (AGB) and Baad,tuning,,"Variation in this parameter is here so that we can have a better chance to match observations of AGB. Initial tests showed a low bias in AGB, we took the data-derived value and added 30% to get a max range for the parameter",,
FALSE,fates_mort_scalar_cstarvation,1,NaN,0.2,0.6,,,,,,,
pine,fates_mort_scalar_cstarvation,2,NaN,0.2,0.6,,,,,,,
pine,fates_mort_scalar_cstarvation,3,NaN,0.2,0.6,,,,,,,
pine,fates_mort_scalar_cstarvation,4,NaN,0.2,0.6,,,,,,,
pine,fates_mort_scalar_cstarvation,5,NaN,0.2,0.6,,,,,,,
FALSE,fates_mort_scalar_hydrfailure,1,NaN,0.2,0.6,,,,,,,
pine,fates_mort_scalar_hydrfailure,2,NaN,0.2,0.6,,,,,,,
pine,fates_mort_scalar_hydrfailure,3,NaN,0.2,0.6,,,,,,,
pine,fates_mort_scalar_hydrfailure,4,NaN,0.2,0.6,,,,,,,
pine,fates_mort_scalar_hydrfailure,5,NaN,0.2,0.6,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,0.964000262977469,1.8972302837339,,,
,,,,,,,,0.994308416218196,1.35073680651433,,,
,,,,,,,,1.03021423271628,1.26903722070384,,,
,,,,,,,,1.06194058587623,1.23493279986475,,,
,,,,,,,,1.09090567561729,1.16081260037756,,,
,,,,,,,,1.1224347956759,1.16670705249218,,,
,,,,,,,,1.1539826998394,1.16879208813502,,,
,,,,,,,,1.18548364374067,1.18040066495731,,,
,,,,,,,,1.21593267776807,1.20533656419937,,,
,,,,,,,,1.2477153832427,1.15980389394494,,,
,,,,,,,,1.27790143980164,1.23807162379195,,,
,,,,,,,,1.31026645252787,1.27444704291229,,,
,,,,,,,,1.34329830097771,1.17558817728438,,,
,,,,,,,,1.37255454434458,1.24242202248457,,,
,,,,,,,,1.40546429611263,1.16832436392325,,,
,,,,,,,,1.43292665746246,1.19895748217858,,,
,,,,,,,,1.46500990861533,1.09247414837565,,,
,,,,,,,,1.49919697951593,1.15933616973317,,,
,,,,,,,,1.52804936462765,1.10807246907667,,,
,,,,,,,,1.56039559324899,1.14825730466879,,,
,,,,,,,,1.59485503367051,1.15988278718548,,,
,,,,,,,,1.6186544945667,1.13335211743822,,,
,,,,,,,,1.65395921970828,1.17355385872475,,,
,,,,,,,,1.68396682727076,1.28801104505368,,,
,,,,,,,,1.71643515257389,1.10343467357922,,,
,,,,,,,,1.74838691499253,1.02361725507875,,,
,,,,,,,,1.78005691583782,1.00094108365501,,,
,,,,,,,,1.80951978435848,1.02587134766561,,,
,,,,,,,,1.84100194415486,1.04128934095968,,,
,,,,,,,,1.87588402693641,0.967202952861289,,,
,,,,,,,,1.90467066768101,1.12927220985602,,,
,,,,,,,,1.93449043419458,0.881823560902764,,,
,,,,,,,,1.9689498746161,1.09344904341946,,,
,,,,,,,,2.00446122491148,1.09174720351639,,,
,,,,,,,,2.03311637692185,1.08048237581359,,,
,,,,,,,,2.0546429611263,1.1148910991519,,,
,,,,,,,,2.09067087430616,1.00843030627483,,,
,,,,,,,,,1.15991873082403,,,
,,,,,,,,,0.0231983746164806,,,
